(1, 'Port Blair', '11.67 N', '92.76 E', 'Andaman and Nicobar Islands', 'Bengali'),
(2, 'Adilabad', '19.68 N', '78.53 E', 'Andhra Pradesh', 'Telugu'),
(3, 'Adoni', '15.63 N', '77.28 E', 'Andhra Pradesh', 'Telugu'),
(4, 'Alwal', '17.50 N', '78.54 E', 'Andhra Pradesh', 'Telugu'),
(5, 'Anakapalle', '17.69 N', '83.00 E', 'Andhra Pradesh', 'Telugu'),
(6, 'Anantapur', '14.70 N', '77.59 E', 'Andhra Pradesh', 'Telugu'),
(7, 'Bapatla', '15.91 N', '80.47 E', 'Andhra Pradesh', 'Telugu'),
(8, 'Belampalli', '19.06 N', '79.49 E', 'Andhra Pradesh', 'Telugu'),
(9, 'Bhimavaram', '16.55 N', '81.53 E', 'Andhra Pradesh', 'Telugu'),
(10, 'Bhongir', '17.52 N', '78.88 E', 'Andhra Pradesh', 'Telugu'),
(11, 'Bobbili', '18.57 N', '83.37 E', 'Andhra Pradesh', 'Telugu'),
(12, 'Bodhan', '18.66 N', '77.88 E', 'Andhra Pradesh', 'Telugu'),
(13, 'Chilakalurupet', '16.10 N', '80.16 E', 'Andhra Pradesh', 'Telugu'),
(14, 'Chinna Chawk', '14.47 N', '78.83 E', 'Andhra Pradesh', 'Telugu'),
(15, 'Chirala', '15.84 N', '80.35 E', 'Andhra Pradesh', 'Telugu'),
(16, 'Chittur', '13.22 N', '79.10 E', 'Andhra Pradesh', 'Telugu'),
(17, 'Cuddapah', '14.48 N', '78.81 E', 'Andhra Pradesh', 'Telugu'),
(18, 'Dharmavaram', '14.42 N', '77.71 E', 'Andhra Pradesh', 'Telugu'),
(19, 'Dhone', '15.42 N', '77.88 E', 'Andhra Pradesh', 'Telugu'),
(20, 'Eluru', '16.72 N', '81.11 E', 'Andhra Pradesh', 'Telugu'),
(21, 'Gaddiannaram', '17.36 N', '78.52 E', 'Andhra Pradesh', 'Telugu'),
(22, 'Gadwal', '16.23 N', '77.80 E', 'Andhra Pradesh', 'Telugu'),
(23, 'Gajuwaka', '17.70 N', '83.21 E', 'Andhra Pradesh', 'Telugu'),
(24, 'Gudivada', '16.44 N', '81.00 E', 'Andhra Pradesh', 'Telugu'),
(25, 'Gudur', '14.15 N', '79.84 E', 'Andhra Pradesh', 'Telugu'),
(26, 'Guntakal', '15.18 N', '77.37 E', 'Andhra Pradesh', 'Telugu'),
(27, 'Guntur', '16.31 N', '80.44 E', 'Andhra Pradesh', 'Telugu'),
(28, 'Hindupur', '13.83 N', '77.48 E', 'Andhra Pradesh', 'Telugu'),
(29, 'Hyderabad', '17.40 N', '78.48 E', 'Andhra Pradesh', 'Telugu'),
(30, 'Jagtial', '18.80 N', '78.91 E', 'Andhra Pradesh', 'Telugu'),
(31, 'Kadiri', '14.12 N', '78.16 E', 'Andhra Pradesh', 'Telugu'),
(32, 'Kagaznagar', '19.34 N', '79.48 E', 'Andhra Pradesh', 'Telugu'),
(33, 'Kakinada', '16.96 N', '82.24 E', 'Andhra Pradesh', 'Telugu'),
(34, 'Kallur', '15.69 N', '77.77 E', 'Andhra Pradesh', 'Telugu'),
(35, 'Kamareddi', '18.32 N', '78.35 E', 'Andhra Pradesh', 'Telugu'),
(36, 'Kapra', '17.37 N', '78.48 E', 'Andhra Pradesh', 'Telugu'),
(37, 'Karimnagar', '18.45 N', '79.13 E', 'Andhra Pradesh', 'Telugu'),
(38, 'Karnul', '15.83 N', '78.03 E', 'Andhra Pradesh', 'Telugu'),
(39, 'Kavali', '14.92 N', '79.99 E', 'Andhra Pradesh', 'Telugu'),
(40, 'Khammam', '17.25 N', '80.15 E', 'Andhra Pradesh', 'Telugu'),
(41, 'Kodar', '16.98 N', '79.97 E', 'Andhra Pradesh', 'Telugu'),
(42, 'Kondukur', '15.22 N', '79.91 E', 'Andhra Pradesh', 'Telugu'),
(43, 'Koratla', '18.82 N', '78.72 E', 'Andhra Pradesh', 'Telugu'),
(44, 'Kottagudem', '17.56 N', '80.64 E', 'Andhra Pradesh', 'Telugu'),
(45, 'Kukatpalle', '17.49 N', '78.41 E', 'Andhra Pradesh', 'Telugu'),
(46, 'Lalbahadur Nagar', '17.43 N', '78.50 E', 'Andhra Pradesh', 'Telugu'),
(47, 'Machilipatnam', '16.19 N', '81.14 E', 'Andhra Pradesh', 'Telugu'),
(48, 'Mahbubnagar', '16.74 N', '77.98 E', 'Andhra Pradesh', 'Telugu'),
(49, 'Malkajgiri', '17.55 N', '78.59 E', 'Andhra Pradesh', 'Telugu'),
(50, 'Mancheral', '18.88 N', '79.45 E', 'Andhra Pradesh', 'Telugu'),
(51, 'Mandamarri', '18.97 N', '79.47 E', 'Andhra Pradesh', 'Telugu'),
(52, 'Mangalagiri', '16.44 N', '80.56 E', 'Andhra Pradesh', 'Telugu'),
(53, 'Markapur', '15.73 N', '79.28 E', 'Andhra Pradesh', 'Telugu'),
(54, 'Miryalaguda', '16.87 N', '79.57 E', 'Andhra Pradesh', 'Telugu'),
(55, 'Nalgonda', '17.06 N', '79.26 E', 'Andhra Pradesh', 'Telugu'),
(56, 'Nandyal', '15.49 N', '78.48 E', 'Andhra Pradesh', 'Telugu'),
(57, 'Narasapur', '16.45 N', '81.70 E', 'Andhra Pradesh', 'Telugu'),
(58, 'Narasaraopet', '16.24 N', '80.04 E', 'Andhra Pradesh', 'Telugu'),
(59, 'Nellur', '14.46 N', '79.98 E', 'Andhra Pradesh', 'Telugu'),
(60, 'Nirmal', '19.12 N', '78.35 E', 'Andhra Pradesh', 'Telugu'),
(61, 'Nizamabad', '18.68 N', '78.10 E', 'Andhra Pradesh', 'Telugu'),
(62, 'Nuzvid', '16.78 N', '80.85 E', 'Andhra Pradesh', 'Telugu'),
(63, 'Ongole', '15.50 N', '80.05 E', 'Andhra Pradesh', 'Telugu'),
(64, 'Palakollu', '16.52 N', '81.75 E', 'Andhra Pradesh', 'Telugu'),
(65, 'Palasa', '18.77 N', '84.42 E', 'Andhra Pradesh', 'Telugu'),
(66, 'Palwancha', '17.60 N', '80.68 E', 'Andhra Pradesh', 'Telugu'),
(67, 'Patancheru', '17.53 N', '78.27 E', 'Andhra Pradesh', 'Telugu'),
(68, 'Piduguralla', '16.48 N', '79.90 E', 'Andhra Pradesh', 'Telugu'),
(69, 'Ponnur', '16.07 N', '80.56 E', 'Andhra Pradesh', 'Telugu'),
(70, 'Proddatur', '14.73 N', '78.55 E', 'Andhra Pradesh', 'Telugu'),
(71, 'Qutubullapur', '17.43 N', '78.47 E', 'Andhra Pradesh', 'Telugu'),
(72, 'Rajamahendri', '17.02 N', '81.79 E', 'Andhra Pradesh', 'Telugu'),
(73, 'Rajampet', '14.18 N', '79.17 E', 'Andhra Pradesh', 'Telugu'),
(74, 'Rajendranagar', '17.29 N', '78.39 E', 'Andhra Pradesh', 'Telugu'),
(75, 'Ramachandrapuram', '17.56 N', '78.04 E', 'Andhra Pradesh', 'Telugu'),
(76, 'Ramagundam', '18.80 N', '79.45 E', 'Andhra Pradesh', 'Telugu'),
(77, 'Rayachoti', '14.05 N', '78.75 E', 'Andhra Pradesh', 'Telugu'),
(78, 'Rayadrug', '14.70 N', '76.87 E', 'Andhra Pradesh', 'Telugu'),
(79, 'Samalkot', '17.06 N', '82.18 E', 'Andhra Pradesh', 'Telugu'),
(80, 'Sangareddi', '17.63 N', '78.08 E', 'Andhra Pradesh', 'Telugu'),
(81, 'Sattenapalle', '16.40 N', '80.18 E', 'Andhra Pradesh', 'Telugu'),
(82, 'Serilungampalle', '17.48 N', '78.33 E', 'Andhra Pradesh', 'Telugu'),
(83, 'Siddipet', '18.11 N', '78.84 E', 'Andhra Pradesh', 'Telugu'),
(84, 'Sikandarabad', '17.47 N', '78.52 E', 'Andhra Pradesh', 'Telugu'),
(85, 'Sirsilla', '18.40 N', '78.81 E', 'Andhra Pradesh', 'Telugu'),
(86, 'Srikakulam', '18.30 N', '83.90 E', 'Andhra Pradesh', 'Telugu'),
(87, 'Srikalahasti', '13.76 N', '79.70 E', 'Andhra Pradesh', 'Telugu'),
(88, 'Suriapet', '17.15 N', '79.62 E', 'Andhra Pradesh', 'Telugu'),
(89, 'Tadepalle', '16.48 N', '80.60 E', 'Andhra Pradesh', 'Telugu'),
(90, 'Tadepallegudem', '16.82 N', '81.52 E', 'Andhra Pradesh', 'Telugu'),
